order_id,order_date,amount,customer
ORD1000,2026-07-07,41134.56,cust_6155
ORD1001,2026-07-13,39868.4,cust_8517
ORD1002,2026-07-09,6713.55,cust_9830
ORD1003,2026-07-24,26514.08,cust_7543
ORD1004,2026-07-08,44881.0,cust_3266
ORD1005,2026-07-03,34132.31,cust_2796
ORD1005,2026-07-03,34132.31,cust_2796
ORD1006,2026-07-21,7619.2,cust_7916
ORD1007,2026-07-13,27017.04,cust_8668
ORD1008,2026-07-18,38804.7,cust_1188
ORD1009,2026-07-25,29022.8,cust_2827
ORD1010,2026-07-14,7538.02,cust_1053
ORD1011,2026-07-17,34407.32,cust_9317
ORD1012,2026-07-27,28933.25,cust_4258
ORD1013,2026-07-12,34431.73,cust_9837
ORD1014,2026-07-20,14924.94,cust_1319
ORD1015,2026-07-27,36401.48,cust_4923
ORD1016,2026-07-08,39571.43,cust_2290
ORD1017,2026-07-24,22126.58,cust_2133
ORD1018,2026-07-30,29858.91,cust_3705
ORD1019,2026-07-28,27493.43,cust_4470
ORD1020,2026-07-30,14371.37,cust_7118
ORD1021,2026-07-15,5884.69,cust_4681
ORD1021,2026-07-15,5884.69,cust_4681
ORD1022,2026-07-11,1436.02,cust_4770
ORD1023,2026-07-01,3659.19,cust_1964
ORD1025,2026-07-03,40791.19,cust_6413
ORD1026,2026-07-17,11091.21,cust_8953
ORD1027,2026-07-18,6387.88,cust_8744
ORD1028,2026-08-04,21547.3,cust_7669
ORD1029,2026-07-04,29824.73,cust_6804
ORD1030,2026-08-04,38940.74,cust_1887
ORD1031,2026-07-13,32905.5,cust_2790
ORD1032,2026-07-07,8964.3,cust_8350
ORD1034,2026-07-14,8665.22,cust_8579
ORD1035,2026-07-28,41585.32,cust_8260
ORD1036,2026-08-04,29520.45,cust_9856
ORD1037,2026-07-25,38266.96,cust_3724
ORD1038,2026-07-25,10011.75,cust_7570
ORD1039,2026-07-13,595.91,cust_7396
ORD1040,2026-07-26,35438.26,cust_5673
ORD1041,2026-07-23,43100.64,cust_8973
ORD1042,2026-07-07,13703.5,cust_1958
ORD1043,2026-07-24,14455.41,cust_1821
ORD1044,2026-07-17,41412.73,cust_9701
ORD1045,2026-07-02,43254.66,cust_2312
ORD1046,2026-07-03,26979.06,cust_4853
ORD1047,2026-07-04,42401.03,cust_5033
ORD1048,2026-07-20,4148.26,cust_9565
ORD1049,2026-07-07,30302.81,cust_6147
ORD1050,2026-07-09,18112.47,cust_5915
ORD1051,2026-07-11,41841.32,cust_2188
ORD1052,2026-07-15,28141.59,cust_2638
ORD1053,2026-07-18,9985.37,cust_5345
ORD1054,2026-07-03,39627.53,cust_7054
ORD1055,2026-07-15,37601.65,cust_5956
ORD1056,2026-07-22,5109.6,cust_3200
ORD1057,2026-07-04,40092.22,cust_3546
ORD1058,2026-07-10,27414.93,cust_6617
ORD1059,2026-07-22,28723.59,cust_5325
ORD1061,2026-07-09,40787.47,cust_1832
ORD1062,2026-07-27,12812.27,cust_1058
ORD1063,2026-07-25,6321.47,cust_5291
ORD1063,2026-07-25,6321.47,cust_5291
ORD1064,2026-08-04,20161.68,cust_8007
ORD1065,2026-07-03,42554.77,cust_3442
ORD1066,2026-07-27,16930.11,cust_3426
ORD1067,2026-07-05,2361.38,cust_6974
ORD1068,2026-07-12,9848.41,cust_5088
ORD1069,2026-07-12,35215.17,cust_7658
ORD1033,2026-07-14,1602.99,cust_6442
ORD1060,2026-07-26,30310.87,cust_5065
ORD1024,2026-07-06,35538.17,cust_2771
